id,celltype,biosampletype,ctrltype,lab
ENCFF001HWY,epithelial cell of proximal tubule,primary cell,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF002DTU,MCF-7,immortalized cell line,Control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF001HYX,WI38,immortalized cell line,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF001HNC,HEK293,immortalized cell line,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF000YPZ,K562,immortalized cell line,Control (Homo sapiens),"Sherman Weissman, Yale"
ENCFF972NVS,Loucy,immortalized cell line,Control (Homo sapiens),"Bradley Bernstein, Broad"
ENCFF001HRU,kidney epithelial cell,primary cell,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF000RTH,GM20000,immortalized cell line,Control (Homo sapiens),"Vishwanath Iyer, UTA"
ENCFF000WPN,GM19193,immortalized cell line,mouse-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF002AXQ,DOHH2,immortalized cell line,Control (Homo sapiens),"Bradley Bernstein, Broad"
ENCFF002AYR,DOHH2,immortalized cell line,Control (Homo sapiens),"Bradley Bernstein, Broad"
ENCFF000NPW,ECC-1,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF002ECR,GM12878,immortalized cell line,Control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000QFJ,K562,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF000XRI,HepG2,immortalized cell line,Control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000ZVZ,K562,immortalized cell line,Control (Homo sapiens),"Kevin White, UChicago"
ENCFF001HIR,cardiac mesoderm,in vitro differentiated cells,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF000OCS,GM12878,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF000SCP,CD14-positive monocyte,primary cell,Control (Homo sapiens),"Vishwanath Iyer, UTA"
ENCFF002ECL,A549,immortalized cell line,Control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000BAO,HeLa-S3,immortalized cell line,Control (Homo sapiens),"Bradley Bernstein, Broad"
ENCFF000AOF,T-cell acute lymphoblastic leukemia,immortalized cell line,Control (Homo sapiens),"Bradley Bernstein, Broad"
ENCFF002EFN,HeLa-S3,immortalized cell line,Control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000QXN,SK-N-MC,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF000ZHZ,MCF 10A,immortalized cell line,Control (Homo sapiens),"Kevin Struhl, HMS"
ENCFF000PBY,HCT116,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF000RUA,heart,tissue,Control (Homo sapiens),"Vishwanath Iyer, UTA"
ENCFF002BGB,K562,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF000VXG,GM12878,immortalized cell line,rabbit-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000WXB,HCT116,immortalized cell line,Control (Homo sapiens),"Peggy Farnham, USC"
ENCFF000OSP,H1-hESC,stem cell,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF000YAZ,endothelial cell of umbilical vein,primary cell,Control (Homo sapiens),"Sherman Weissman, Yale"
ENCFF000VJV,NT2/D1,immortalized cell line,Control (Homo sapiens),"Peggy Farnham, USC"
ENCFF001HKG,cardiac fibroblast,primary cell,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF000POO,HepG2,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF000POH,HepG2,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF000QTR,Panc1,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF000VWH,GM12878,immortalized cell line,rabbit-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF002EJB,A549,immortalized cell line,rabbit-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000QQK,MCF-7,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF000WOO,GM19099,immortalized cell line,mouse-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF001EXE,GM12865,immortalized cell line,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF000ZIT,MCF 10A,immortalized cell line,Control (Homo sapiens),"Kevin Struhl, HMS"
ENCFF000RMI,A549,immortalized cell line,Control (Homo sapiens),"Vishwanath Iyer, UTA"
ENCFF000WXT,HEK293,immortalized cell line,Control (Homo sapiens),"Sherman Weissman, Yale"
ENCFF000QVY,PFSK-1,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF002EJD,A549,immortalized cell line,rabbit-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000PVC,HL-60,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF000QFG,K562,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF000VPI,A549,immortalized cell line,rabbit-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000RCB,SK-N-SH,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF000WNP,GM18951,immortalized cell line,mouse-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000ARK,GM12878,immortalized cell line,Control (Homo sapiens),"Bradley Bernstein, Broad"
ENCFF002EIC,HepG2,immortalized cell line,rabbit-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF002BGC,K562,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF002ECP,GM12878,immortalized cell line,Control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000ZSI,SH-SY5Y,immortalized cell line,Control (Homo sapiens),"Peggy Farnham, USC"
ENCFF001HIS,cardiac mesoderm,in vitro differentiated cells,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF002ECT,H1-hESC,stem cell,Control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000WHY,GM12891,immortalized cell line,mouse-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF001HDF,GM12865,immortalized cell line,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF000QFL,K562,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF000BQS,endothelial cell of umbilical vein,primary cell,Control (Homo sapiens),"Bradley Bernstein, Broad"
ENCFF002BCA,Oci-Ly-7,immortalized cell line,Control (Homo sapiens),"Bradley Bernstein, Broad"
ENCFF000WKI,GM15510,immortalized cell line,mouse-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000QEZ,K562,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF001GGN,WERI-Rb-1,immortalized cell line,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF002EHB,GM12878,immortalized cell line,rabbit-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000YBC,endothelial cell of umbilical vein,primary cell,Control (Homo sapiens),"Peggy Farnham, USC"
ENCFF000QET,K562,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF001HTK,fibroblast of villous mesenchyme,primary cell,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF000ZVI,K562,immortalized cell line,Control (Homo sapiens),"Kevin White, UChicago"
ENCFF000RPB,GM12878,immortalized cell line,Control (Homo sapiens),"Vishwanath Iyer, UTA"
ENCFF001HON,foreskin fibroblast,primary cell,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF002EJF,A549,immortalized cell line,rabbit-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000RYG,LNCaP clone FGC,immortalized cell line,Control (Homo sapiens),"Vishwanath Iyer, UTA"
ENCFF001HUM,MCF-7,immortalized cell line,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF000CUZ,osteoblast,primary cell,Control (Homo sapiens),"Bradley Bernstein, Broad"
ENCFF000VRO,GM10847,immortalized cell line,rabbit-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000RCF,SK-N-SH,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF000WUW,H1-hESC,stem cell,Control (Homo sapiens),"Peggy Farnham, USC"
ENCFF000XID,HeLa-S3,immortalized cell line,Control (Homo sapiens),"Sherman Weissman, Yale"
ENCFF001HJV,astrocyte of the spinal cord,primary cell,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF001HOY,HFF-Myc,immortalized cell line,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF001HAM,Caco-2,immortalized cell line,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF000WNS,GM18951,immortalized cell line,rabbit-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF001HSI,retinal pigment epithelial cell,primary cell,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF000BDT,HepG2,immortalized cell line,Control (Homo sapiens),"Bradley Bernstein, Broad"
ENCFF000VHM,MCF-7,immortalized cell line,Control (Homo sapiens),"Peggy Farnham, USC"
ENCFF000AMM,B cell,primary cell,Control (Homo sapiens),"Bradley Bernstein, Broad"
ENCFF000SDU,pancreas,tissue,Control (Homo sapiens),"Vishwanath Iyer, UTA"
ENCFF000WPQ,GM19193,immortalized cell line,mouse-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000AVM,H1-hESC,stem cell,Control (Homo sapiens),"Bradley Bernstein, Broad"
ENCFF002EHE,MCF-7,immortalized cell line,rabbit-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF002EHN,neural cell,in vitro differentiated cells,rabbit-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000WOT,GM19099,immortalized cell line,rabbit-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000PBW,HCT116,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF000SEH,spleen,tissue,Control (Homo sapiens),"Vishwanath Iyer, UTA"
ENCFF000WOQ,GM19099,immortalized cell line,rabbit-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000PFD,HeLa-S3,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF000XKW,HeLa-S3,immortalized cell line,rabbit-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF002EFF,K562,immortalized cell line,Control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000YCQ,IMR-90,immortalized cell line,rabbit-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000RUP,HepG2,immortalized cell line,Control (Homo sapiens),"Vishwanath Iyer, UTA"
ENCFF000WMM,GM18526,immortalized cell line,mouse-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000XJG,HeLa-S3,immortalized cell line,Control (Homo sapiens),"Sherman Weissman, Yale"
ENCFF000SCG,medulloblastoma,immortalized cell line,Control (Homo sapiens),"Vishwanath Iyer, UTA"
ENCFF000RVO,endothelial cell of umbilical vein,primary cell,Control (Homo sapiens),"Vishwanath Iyer, UTA"
ENCFF001GWR,fibroblast of upper leg skin,primary cell,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF001GXZ,fibroblast of gingiva,primary cell,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF002EFL,neural cell,in vitro differentiated cells,Control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000BKK,skeletal muscle myoblast,primary cell,Control (Homo sapiens),"Bradley Bernstein, Broad"
ENCFF000VWV,GM12878,immortalized cell line,Control (Homo sapiens),"Sherman Weissman, Yale"
ENCFF001HXN,skeletal muscle cell,primary cell,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF000XGR,HeLa-S3,immortalized cell line,Control (Homo sapiens),"Peggy Farnham, USC"
ENCFF000PPC,HepG2,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF002BFY,HepG2,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF000WLF,GM18505,immortalized cell line,mouse-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF001HXQ,SK-N-MC,immortalized cell line,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF001HME,HCT116,immortalized cell line,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF002ECQ,HepG2,immortalized cell line,Control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF001HCM,GM12864,immortalized cell line,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF000CQO,fibroblast of lung,primary cell,Control (Homo sapiens),"Bradley Bernstein, Broad"
ENCFF000ODG,GM12878,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF000RYV,lung,tissue,Control (Homo sapiens),"Vishwanath Iyer, UTA"
ENCFF002BGD,HepG2,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF000VWD,GM12878,immortalized cell line,mouse-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF002EFB,HepG2,immortalized cell line,Control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000PVT,endothelial cell of umbilical vein,primary cell,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF000WIA,GM12891,immortalized cell line,rabbit-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000ZXU,K562,immortalized cell line,Control (Homo sapiens),"Kevin White, UChicago"
ENCFF002EIK,A549,immortalized cell line,Control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000QTU,Panc1,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF000AMT,B cell,primary cell,Control (Homo sapiens),"Bradley Bernstein, Broad"
ENCFF000YRN,K562,immortalized cell line,Control (Homo sapiens),"Sherman Weissman, Yale"
ENCFF000WPT,GM19193,immortalized cell line,rabbit-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000WUI,H1-hESC,stem cell,rabbit-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF001HXF,bronchial epithelial cell,primary cell,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF002EFA,K562,immortalized cell line,Control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF002EFT,GM12878,immortalized cell line,Control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000VQQ,GM08714,immortalized cell line,Control (Homo sapiens),"Peggy Farnham, USC"
ENCFF000WLM,GM18505,immortalized cell line,rabbit-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF001HWK,fibroblast of lung,primary cell,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF001GZT,BE2C,immortalized cell line,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF000XQS,HepG2,immortalized cell line,Control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000ZPL,erythroblast,primary cell,Control (Homo sapiens),"Peggy Farnham, USC"
ENCFF000WJL,GM12892,immortalized cell line,rabbit-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000VRR,GM10847,immortalized cell line,rabbit-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF001HYO,WERI-Rb-1,immortalized cell line,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF000RCT,SK-N-SH,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF002AZZ,Karpas-422,immortalized cell line,Control (Homo sapiens),"Bradley Bernstein, Broad"
ENCFF000WON,GM19099,immortalized cell line,mouse-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF002EFP,neural cell,in vitro differentiated cells,Control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000QTJ,Panc1,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF001HQN,fibroblast of pulmonary artery,primary cell,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF000RXR,kidney,tissue,Control (Homo sapiens),"Vishwanath Iyer, UTA"
ENCFF001HII,cardiac mesoderm,in vitro differentiated cells,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF000VRP,GM10847,immortalized cell line,rabbit-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000OLW,GM12892,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF000ODV,GM12878,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF000NGN,A549,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF001HLR,choroid plexus epithelial cell,primary cell,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF000ZQO,SK-N-SH,immortalized cell line,rabbit-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF002EIB,HepG2,immortalized cell line,rabbit-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000WHZ,GM12891,immortalized cell line,mouse-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF002EJI,A549,immortalized cell line,rabbit-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000BKI,skeletal muscle myoblast,primary cell,Control (Homo sapiens),"Bradley Bernstein, Broad"
ENCFF000CCW,CD14-positive monocyte,primary cell,Control (Homo sapiens),"Bradley Bernstein, Broad"
ENCFF000ZVL,K562,immortalized cell line,Control (Homo sapiens),"Kevin White, UChicago"
ENCFF000ZVV,K562,immortalized cell line,Control (Homo sapiens),"Kevin White, UChicago"
ENCFF000BAU,HeLa-S3,immortalized cell line,Control (Homo sapiens),"Bradley Bernstein, Broad"
