id,celltype,biosampletype,ctrltype,lab
ENCFF000RNJ,colon,tissue,Control (Homo sapiens),"Vishwanath Iyer, UTA"
ENCFF000XOO,HeLa-S3,immortalized cell line,Control (Homo sapiens),"Sherman Weissman, Yale"
ENCFF000QVO,PFSK-1,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF000XRH,HepG2,immortalized cell line,Control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF001RVQ,K562,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF001HAG,BJ,immortalized cell line,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF000QFI,K562,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF002ABM,SK-N-SH,immortalized cell line,Control (Homo sapiens),"Peggy Farnham, USC"
ENCFF002EHU,neural cell,in vitro differentiated cells,rabbit-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000XTF,HepG2,immortalized cell line,rabbit-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000OXP,neural cell,in vitro differentiated cells,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF002AYG,Oci-Ly-7,immortalized cell line,Control (Homo sapiens),"Bradley Bernstein, Broad"
ENCFF000XGP,HeLa-S3,immortalized cell line,Control (Homo sapiens),"Sherman Weissman, Yale"
ENCFF001HSV,endothelial cell of umbilical vein,primary cell,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF000RWS,K562,immortalized cell line,Control (Homo sapiens),"Vishwanath Iyer, UTA"
ENCFF002ASZ,Oci-Ly-3,immortalized cell line,Control (Homo sapiens),"Bradley Bernstein, Broad"
ENCFF000RBV,SK-N-SH,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF002ECM,A549,immortalized cell line,Control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000OJU,GM12891,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF000YOV,K562,immortalized cell line,Control (Homo sapiens),"Sherman Weissman, Yale"
ENCFF001HWJ,Panc1,immortalized cell line,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF000PVZ,HL-60,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF000VKM,mononuclear cell,primary cell,Control (Homo sapiens),"Peggy Farnham, USC"
ENCFF000ROO,GM10248,immortalized cell line,Control (Homo sapiens),"Vishwanath Iyer, UTA"
ENCFF000RCC,SK-N-SH,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF000ZIF,MCF 10A,immortalized cell line,Control (Homo sapiens),"Kevin Struhl, HMS"
ENCFF002EFY,K562,immortalized cell line,rabbit-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000WPV,GM19193,immortalized cell line,rabbit-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000YRC,K562,immortalized cell line,Control (Homo sapiens),"Sherman Weissman, Yale"
ENCFF001HOD,HepG2,immortalized cell line,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF000NGM,A549,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF000ZIS,MCF 10A,immortalized cell line,Control (Homo sapiens),"Kevin Struhl, HMS"
ENCFF000XQR,HepG2,immortalized cell line,Control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000POQ,HepG2,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF000WLC,GM18505,immortalized cell line,mouse-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000VWF,GM12878,immortalized cell line,rabbit-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000XSY,HepG2,immortalized cell line,Control (Homo sapiens),"Sherman Weissman, Yale"
ENCFF000VQO,GM08714,immortalized cell line,Control (Homo sapiens),"Peggy Farnham, USC"
ENCFF002EIM,A549,immortalized cell line,Control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF001GXK,fibroblast of pedal digit skin,primary cell,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF001RVN,K562,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF802ZSZ,Loucy,immortalized cell line,Control (Homo sapiens),"Bradley Bernstein, Broad"
ENCFF000CCQ,CD14-positive monocyte,primary cell,Control (Homo sapiens),"Bradley Bernstein, Broad"
ENCFF001HJJ,astrocyte of the cerebellum,primary cell,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
